Type,GlobalId,ArchiCADProperties:Element ID,ArchiCADProperties:Hotlink und Element-ID,ArchiCADProperties:Ebene,ArchiCADProperties:Bibliothekselement-Name,ArchiCADProperties:Eindeutige ID,ArchiCADProperties:ARCHICAD IFC ID,ArchiCADProperties:Externe IFC ID,ArchiCADProperties:Kollidierende Räume,ArchiCADProperties:Zugehöriger Raumname,ArchiCADProperties:Zugehörige Raumnummer,ArchiCADProperties:Geschützt,ArchiCADProperties:Verknüpfte Änderungen,ArchiCADProperties:Ursprungsgeschoss Name,ArchiCADProperties:Ursprungsgeschoss Nummer,ArchiCADProperties:Name des Eigenschafts-Objekts,ArchiCADProperties:Element-Typ,ArchiCADProperties:Absolutes Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Relatives Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Überobjekt-ID,ArchiCADProperties:Baustoffe (Alle),ArchiCADProperties:Oberfläche (Alle),ArchiCADProperties:Hotlink Master-ID,ArchiCADProperties:Deckschraffur,ArchiCADProperties:Umbau-Status,ArchiCADProperties:Anzeigen auf Umbau-Filter,ArchiCADProperties:Oberfläche,ArchiCADProperties:Einheitliche Oberfläche,ArchiCADProperties:Raumname,ArchiCADProperties:Raumnummer,ArchiCADProperties:Raumkategoriename,ArchiCADProperties:Raumkategoriecode,ArchiCADProperties:Verbundene 3D Element(e),ArchiCADProperties:ARCHICAD Klassifizierung - v2.0,IfcWallCommon:ElementID
IfcWall,0IhwLSU$eFGOOkLcMnT$et,tbd,tbd,016 Innenwände ,,12AFA55C-7BFA-0F41-862E-5665B177FA37,0IhwLSU$eFGOOkLcMnT$et,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcDoor,0EtOSWZQG4IeehoQk04kGe,T-WHG-,T-WHG-,015 Wohnungstrennwände / Kernwände,Blockrahmen 1 24,0EDD8720-8DA4-044A-8A2B-C9AB8012E428,0EtOSWZQG4IeehoQk04kGe,,Wohnen; Wohnen / Holzbau; Wohnen HOL,Wohnen/Essen,3,False,,OG2,2,,Tür,,,,tbd,,FMK Tür- und Fenstergriffe; FMK Wohnungstüre,,,Bestand,Alle relevanten Filter,,,,,,,,Tür,
IfcWall,3t3EP5U3CeGh6WArRCRssU,tbd,tbd,015 Wohnungstrennwände / Kernwände,,F70CE645-7833-2842-B1A0-2B56CC6F6D9E,3t3EP5U3CeGh6WArRCRssU,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen/Essen,3,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Massivbau Beton, Stahlbeton 705",FMK Sichtbeton,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,1_8Bq5Hvs2HPmbcrQPmacu,tbd,tbd,016 Innenwände ,,7E20BD05-479D-8245-9C25-9B5699C249B8,1_8Bq5Hvs2HPmbcrQPmacu,,Wohnen; Wohnen; Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Gipsplatte 320",FMK Verputz Innenräume,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,3SRc5p3y49JRu$TwYbeHpn,tbd,tbd,016 Innenwände ,,DC6E6173-0FC1-094D-BE3F-77A8A5A11CF1,3SRc5p3y49JRu$TwYbeHpn,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnung,,False,,OG2,2,,Wand,OG3,Ursprung + 1,Ursprung + 1 (OG3),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,3jNnngeqkrGAc58u6r10o2,tbd,tbd,015 Wohnungstrennwände / Kernwände,,ED5F1C6A-A34B-B540-A985-2381B5040C82,3jNnngeqkrGAc58u6r10o2,,Wohnen; Wohnen; Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Gipsfaserplatte 600; Holzkonstruktion (Dämmung) 650; Holzkonstruktion (Dämmung) 650; Gipsfaserplatte 600; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,0bAQOKJGbuIR9nJy0y5OvB,tbd,tbd,016 Innenwände ,,2529A614-4D09-7849-B271-4FC03C158E4B,0bAQOKJGbuIR9nJy0y5OvB,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,1755r$lTDHJBNOpX7sQkOr,tbd,tbd,050 Geländer Fenster,,47145D7F-BDD3-514C-B5D8-CE11F66AE635,1755r$lTDHJBNOpX7sQkOr,,Wohnen / Holzbau; Wohnen HOL,Wohnen HOL,Wohnen,False,,OG2,2,,Wand,Nicht verknüpft,Nicht verknüpft,Nicht verknüpft,tbd,Glas,Glas Normalglas Brüstung,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,13bIHcYdg2I9Y$MIpKwvHC,tbd,tbd,016 Innenwände ,,43952466-8A7A-8248-98BF-592CD4EB944C,13bIHcYdg2I9Y$MIpKwvHC,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL; Wohnung,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Verputz, Innen 150; Gipsplatte 320; Metallständer (Dämmung) 450; Gipsplatte 320; Verputz, Innen 150",FMK Verputz Innenräume; 15 Farbe gelb (SP),,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcDoor,2fLbBKDLJjIA0_Yha4BAuM,T-WHG-,T-WHG-,015 Wohnungstrennwände / Kernwände,Blockrahmen 1 24,A95652D4-3554-ED48-A03E-8AB9042CAE16,2fLbBKDLJjIA0_Yha4BAuM,,Wohnen; Wohnen / Holzbau; Wohnen HOL,Wohnung,,False,,OG2,2,,Tür,,,,tbd,,FMK Tür- und Fenstergriffe; FMK Wohnungstüre,,,Bestand,Alle relevanten Filter,,,,,,,,Tür,
